Obra,Partitura
http://www.semanticweb.org/brunomac/ontologies/Musicas#m1,24
http://www.semanticweb.org/brunomac/ontologies/Musicas#m10,27
http://www.semanticweb.org/brunomac/ontologies/Musicas#m11,23
http://www.semanticweb.org/brunomac/ontologies/Musicas#m12,25
http://www.semanticweb.org/brunomac/ontologies/Musicas#m13,20
http://www.semanticweb.org/brunomac/ontologies/Musicas#m14,24
http://www.semanticweb.org/brunomac/ontologies/Musicas#m15,33
http://www.semanticweb.org/brunomac/ontologies/Musicas#m16,2
http://www.semanticweb.org/brunomac/ontologies/Musicas#m17,1
http://www.semanticweb.org/brunomac/ontologies/Musicas#m18,1
http://www.semanticweb.org/brunomac/ontologies/Musicas#m19,32
http://www.semanticweb.org/brunomac/ontologies/Musicas#m2,20
http://www.semanticweb.org/brunomac/ontologies/Musicas#m20,28
http://www.semanticweb.org/brunomac/ontologies/Musicas#m22,1
http://www.semanticweb.org/brunomac/ontologies/Musicas#m23,30
http://www.semanticweb.org/brunomac/ontologies/Musicas#m25,23
http://www.semanticweb.org/brunomac/ontologies/Musicas#m26,1
http://www.semanticweb.org/brunomac/ontologies/Musicas#m27,30
http://www.semanticweb.org/brunomac/ontologies/Musicas#m28,43
http://www.semanticweb.org/brunomac/ontologies/Musicas#m29,34
http://www.semanticweb.org/brunomac/ontologies/Musicas#m3,29
http://www.semanticweb.org/brunomac/ontologies/Musicas#m30,31
http://www.semanticweb.org/brunomac/ontologies/Musicas#m31,32
http://www.semanticweb.org/brunomac/ontologies/Musicas#m32,24
http://www.semanticweb.org/brunomac/ontologies/Musicas#m33,30
http://www.semanticweb.org/brunomac/ontologies/Musicas#m34,24
http://www.semanticweb.org/brunomac/ontologies/Musicas#m35,1
http://www.semanticweb.org/brunomac/ontologies/Musicas#m36,1
http://www.semanticweb.org/brunomac/ontologies/Musicas#m4,1
http://www.semanticweb.org/brunomac/ontologies/Musicas#m41,20
http://www.semanticweb.org/brunomac/ontologies/Musicas#m42,25
http://www.semanticweb.org/brunomac/ontologies/Musicas#m43,1
http://www.semanticweb.org/brunomac/ontologies/Musicas#m44,37
http://www.semanticweb.org/brunomac/ontologies/Musicas#m46,29
http://www.semanticweb.org/brunomac/ontologies/Musicas#m47,1
http://www.semanticweb.org/brunomac/ontologies/Musicas#m48,2
http://www.semanticweb.org/brunomac/ontologies/Musicas#m49,38
http://www.semanticweb.org/brunomac/ontologies/Musicas#m5,26
http://www.semanticweb.org/brunomac/ontologies/Musicas#m50,22
http://www.semanticweb.org/brunomac/ontologies/Musicas#m51,28
http://www.semanticweb.org/brunomac/ontologies/Musicas#m52,27
http://www.semanticweb.org/brunomac/ontologies/Musicas#m53,47
http://www.semanticweb.org/brunomac/ontologies/Musicas#m54,1
http://www.semanticweb.org/brunomac/ontologies/Musicas#m55,30
http://www.semanticweb.org/brunomac/ontologies/Musicas#m56,28
http://www.semanticweb.org/brunomac/ontologies/Musicas#m57,33
http://www.semanticweb.org/brunomac/ontologies/Musicas#m58,29
http://www.semanticweb.org/brunomac/ontologies/Musicas#m59,29
http://www.semanticweb.org/brunomac/ontologies/Musicas#m6,25
http://www.semanticweb.org/brunomac/ontologies/Musicas#m60,28
http://www.semanticweb.org/brunomac/ontologies/Musicas#m61,25
http://www.semanticweb.org/brunomac/ontologies/Musicas#m62,24
http://www.semanticweb.org/brunomac/ontologies/Musicas#m63,17
http://www.semanticweb.org/brunomac/ontologies/Musicas#m64,21
http://www.semanticweb.org/brunomac/ontologies/Musicas#m65,34
http://www.semanticweb.org/brunomac/ontologies/Musicas#m66,40
http://www.semanticweb.org/brunomac/ontologies/Musicas#m67,26
http://www.semanticweb.org/brunomac/ontologies/Musicas#m68,40
http://www.semanticweb.org/brunomac/ontologies/Musicas#m69,22
http://www.semanticweb.org/brunomac/ontologies/Musicas#m7,32
http://www.semanticweb.org/brunomac/ontologies/Musicas#m70,34
http://www.semanticweb.org/brunomac/ontologies/Musicas#m71,32
http://www.semanticweb.org/brunomac/ontologies/Musicas#m72,24
http://www.semanticweb.org/brunomac/ontologies/Musicas#m73,38
http://www.semanticweb.org/brunomac/ontologies/Musicas#m74,20
http://www.semanticweb.org/brunomac/ontologies/Musicas#m8,2
http://www.semanticweb.org/brunomac/ontologies/Musicas#m9,23
